ward,week_num,week_label,week_start_date,total_evictions
Ward 5,51,Week 51,2024-12-16,12
Ward 1,51,Week 51,2024-12-16,8
Ward 6,51,Week 51,2024-12-16,14
Ward 4,51,Week 51,2024-12-16,4
Ward 2,51,Week 51,2024-12-16,2
Ward 3,51,Week 51,2024-12-16,2
Ward 7,52,Week 52,2024-12-23,0
Ward 8,52,Week 52,2024-12-23,0
Ward 5,52,Week 52,2024-12-23,0
Ward 1,52,Week 52,2024-12-23,0
Ward 6,52,Week 52,2024-12-23,0
Ward 4,52,Week 52,2024-12-23,0
Ward 2,52,Week 52,2024-12-23,0
Ward 3,52,Week 52,2024-12-23,0
Ward 7,53,Week 53,2024-12-30,0
Ward 8,53,Week 53,2024-12-30,0
Ward 5,53,Week 53,2024-12-30,0
Ward 1,53,Week 53,2024-12-30,0
Ward 6,53,Week 53,2024-12-30,0
Ward 4,53,Week 53,2024-12-30,0
Ward 2,53,Week 53,2024-12-30,0
Ward 3,53,Week 53,2024-12-30,0
